Cluster,Lead Investors Include,Country
2,The Carlyle Group,India
1,General Atlantic,United Kingdom
0,Fidelity,United States
2,Schroder Adveq,India
0,Lux Capital,United States
0,TDM Growth Partners,Canada
0,Multiple Lead Investors,South Africa
0,B Capital,United States
0,Multiple Lead Investors,United States
2,Multiple Lead Investors,India
0,Sofina,Spain
4,Zhongzhi Enterprise Group,China
0,Lone Pine Capital,United States
4,Beijing E-town International Investment & Development,China
0,Multiple Lead Investors,United States
4,CICC,China
2,Kedaara Capital,India
0,Progressive Insurance,United States
0,Linse Capital,United States
2,Multiple Lead Investors,India
0,H.I.G. Growth Partners,The Netherlands
2,Apis Partners,India
2,Owl Ventures,India
0,World Fund,Finland
0,ADM Ventures,Israel
1,Centerbridge Partners,United Kingdom
0,Multiple Lead Investors,United States
0,Affinity Equity Partners,Indonesia
0,Multiple Lead Investors,United States
4,HOPU Investment,China
0,Silver Lake Waterman,United States
3,SoftBank Vision Fund,United States
3,SoftBank Vision Fund,United States
0,Multiple Lead Investors,United States
0,Westpac,Singapore
0,Bain Capital Tech Opportunities,United States
4,SenseTime,China
0,Blackstone Group,United States
0,Azimut Holding,Switzerland
0,Brighton Park Capital,Israel
0,Lockheed Martin Ventures,United States
0,Goldman Sachs Asset Management,United States
0,Marshall Wace,Singapore
0,Multiple Lead Investors,The Netherlands
4,Everbright,China
0,Prosperity7 Ventures,Hong Kong
0,Ilija Batljan,Sweden
0,Home & Shopping,South Korea
1,Multiple Lead Investors,United Kingdom
0,Saehan Startup Investment,South Korea
0,National Electric Vehicle Sweden (NEVS),Sweden
0,Multiple Lead Investors,Japan
0,Multiple Lead Investors,Hong Kong
4,Multiple Lead Investors,China
0,Sway Ventures,United States
1,Multiple Lead Investors,United Kingdom
2,Capital18,India
0,Shinhan Financial Group,Vietnam
0,Multiple Lead Investors,United States
0,Insight Partners,United States
0,ICONIQ Growth,France
1,Permira,United Kingdom
0,Motive Partners,United States
2,Castrol India,India
0,Trinity Capital,United States
0,BRV Capital Management,South Korea
0,SK Materials,United States
0,Multiple Lead Investors,Spain
4,Access Industries,China
0,Tiger Global Management,Indonesia
0,Periphas Capital,United States
0,IVP,United States
1,J.P. Morgan Growth Equity Partners,United Kingdom
2,Swiggy,India
0,Multiple Lead Investors,South Korea
2,STIC Investment,India
0,IMM Investment,South Korea
4,Baixing Bairong,China
4,Multiple Lead Investors,China
0,Invesco,United States
3,SoftBank Vision Fund,United States
0,Convivialite Ventures,United States
3,SoftBank Vision Fund,United States
0,LG Technology Ventures,United States
0,Vista Equity Partners,United States
0,Multiple Lead Investors,United States
0,Multiple Lead Investors,United States
0,JP Morgan Chase,United States
0,Multiple Lead Investors,United States
1,Multiple Lead Investors,United Kingdom
0,Greybrook Realty Partners,United States
0,TCG,United States
0,Mubadala Capital Ventures,Sweden
0,Stripes,United States
0,The Westly Group,United States
0,Multiple Lead Investors,United States
0,8VC,Colombia
0,Cisco Investments,United States
0,Intel Capital,United States
0,Permira,United States
0,Multiple Lead Investors,United States
0,Multiple Lead Investors,Singapore
0,Tiger Global Management,United States
0,Thoma Bravo,United States
0,Norwest Venture Partners,United States
0,G Squared,United States
3,SoftBank Vision Fund,United States
1,Dai-ichi Life,United Kingdom
4,Warburg Pincus,China
2,Temasek Holdings,India
0,Multicoin Capital,United States
0,Hanaco Venture Capital,United States
0,Antler,United States
0,Multiple Lead Investors,Canada
0,Altos Ventures,South Korea
0,Valar Ventures,Canada
0,Caisse de Depot et Placement du Quebec,United States
2,Google,India
0,Altimeter Capital,United States
0,Tencent,South Korea
0,Georgian,Canada
0,Canapi Ventures,United States
0,TPG,United States
0,TCV,United States
0,GGV Capital,United States
4,Multiple Lead Investors,China
0,Tiger Global Management,United States
2,Multiple Lead Investors,India
0,DisruptAD,United States
0,Fidelity,Canada
0,Generation Investment Management,United States
0,D1 Capital Partners,United States
0,Accel,Singapore
0,General Catalyst,United States
3,SoftBank Vision Fund,The Netherlands
3,SoftBank Vision Fund,United States
0,L Catterton,United States
0,Multiple Lead Investors,United States
1,Multiple Lead Investors,United Kingdom
0,Kohlberg Kravis Roberts,France
0,Andreessen Horowitz,United States
2,Kora,India
0,Shinhan Financial Group,South Korea
2,Multiple Lead Investors,India
4,Shenzhen Capital Group,China
0,Multiple Lead Investors,Indonesia
0,Multiple Lead Investors,United States
0,Headline,Australia
0,Dawn Capital,Australia
0,General Atlantic,Germany
4,QJY Capital,China
0,FootPrint Coalition,United States
0,Stripe,United States
0,RedBird Capital Partners,United States
1,Global PayTech Ventures,United Kingdom
1,Spark Capital,United Kingdom
2,Partners Group,India
4,NIO,China
4,Multiple Lead Investors,China
4,Sequoia Capital China,China
2,Multiple Lead Investors,India
2,Lightrock,India
0,Multiple Lead Investors,United States
0,General Motors,United States
0,Francisco Partners,United States
0,Northwell Health,United States
0,Seven Seven Six,Canada
0,Accel,Australia
2,Multiple Lead Investors,India
0,Science,United States
0,Multiple Lead Investors,United States
0,Multiple Lead Investors,United States
1,Invus Opportunities,United Kingdom
3,SoftBank Vision Fund,United States
0,Santander US,United States
0,Multiple Lead Investors,United States
3,SoftBank Vision Fund,United States
0,Multiple Lead Investors,United States
0,ServiceNow,United States
0,Kinnevik,United States
0,GS Growth,United States
0,GIC,Colombia
0,Multiple Lead Investors,United States
1,LVMH,United Kingdom
4,Multiple Lead Investors,China
0,Lazada Group,Malaysia
2,Lighthouse Funds,India
4,Multiple Lead Investors,China
1,SoftBank Vision Fund,United Kingdom
2,Advent International,India
2,Gaja Capital,India
0,KT Corp,South Korea
0,STIC Investment,South Korea
0,Planet First Partners,Germany
0,Affinity Partners,Germany
0,Revolution Growth,United States
2,Multiple Lead Investors,India
0,Intact Ventures,United States
0,Andreessen Horowitz,United States
0,Multiple Lead Investors,United States
1,Apax Digital,United Kingdom
0,Dawn Capital,Germany
3,SoftBank Vision Fund,United States
0,Zoom,Norway
1,General Atlantic,United Kingdom
0,SVB Capital,United States
0,Multiple Lead Investors,France
2,Venture Catalysts,India
0,Multiple Lead Investors,United States
4,CVCC Zhongshi Capital,China
0,Multiple Lead Investors,United States
0,Vector Capital,United States
0,Multiple Lead Investors,Kenya
0,US Innovative Technology Fund,United States
0,Trilantic Capital Partners,United States
0,Accel,United States
0,Janus Henderson Investors,United States
4,Tencent,China
2,Visa,India
0,Times Bridge,United States
0,Gilead Sciences,United States
2,Jungle Ventures,India
4,CCB International,China
2,Multiple Lead Investors,India
0,Vitruvian Partners,Germany
0,Spark Capital,United States
1,Apax Digital,United Kingdom
0,Menlo Ventures,United States
0,ICONIQ Growth,United States
0,Meritech Capital Partners,United States
0,Multiple Lead Investors,United States
0,Vitruvian Partners,Romania
0,Multiple Lead Investors,United States
0,Stripes,United States
0,Multiple Lead Investors,United States
0,Haun Ventures,United States
0,Multiple Lead Investors,United States
0,e&,South Korea
0,Blackstone Accelerates Growth,United States
0,Tencent,United States
0,Redstart Labs,United States
0,Multiple Lead Investors,United States
3,SoftBank Vision Fund,United States
2,Multiple Lead Investors,India
0,Multiple Lead Investors,Germany
0,Addition,United States
0,American Express Ventures,United States
2,Multiple Lead Investors,India
4,ShenZhen GTJA Investment Group,China
0,WestCap,United States
2,Beams FinTech Fund,India
0,Deer Park Road,United States
0,KFC Ventures,Singapore
4,Trustbridge Partners,China
4,Tiger Global Management,China
0,General Catalyst,United States
0,China Fellow Partners,Singapore
2,Multiple Lead Investors,India
0,Catalyst,Switzerland
2,Flipkart,India
0,Verdane,Norway
0,Andreessen Horowitz,United States
0,Multiple Lead Investors,Japan
0,Eldridge Industries,Canada
0,Korea Development Bank,South Korea
3,SoftBank Vision Fund,United States
0,Insight Partners,United States
0,Multiple Lead Investors,United States
0,NatWest Group,Poland
0,Microsoft Climate Innovation Fund,United States
4,CTC Capital,China
0,Tiger Global Management,Germany
4,Multiple Lead Investors,China
3,SoftBank Vision Fund,United States
0,Fidelity,United States
0,Multiple Lead Investors,United States
1,Highland Europe,United Kingdom
4,Multiple Lead Investors,China
1,Greylock,United Kingdom
0,Booking Holdings,Brazil
0,Multiple Lead Investors,United States
0,OpenAI,United States
0,Multiple Lead Investors,United States
0,Lux Capital,United States
0,Bain Capital Tech Opportunities,Canada
0,Fubon Financial Holdings,United States
0,Stripes,United States
0,Andreessen Horowitz,United States
0,Bessemer Venture Partners,United States
4,Multiple Lead Investors,China
0,ICONIQ Growth,United States
0,Eight Roads Ventures,United States
0,Mubadala,Nigeria
0,Multiple Lead Investors,United States
2,Vy Capital,India
0,MUFG Bank,Japan
1,Arm Holdings,United Kingdom
0,Multiple Lead Investors,Brazil
0,10T Holdings,Canada
2,Swiss Re,India
0,Samsung Electronics,United States
0,Evolution Financial,Japan
0,The General Partnership,United States
0,GIC,United States
