Cluster,Lead Investors Include,Continent
2,Kai-Fu Lee,Asia
0,Lightspeed Venture Partners,North America
0,Amber Group,North America
2,Haoteng Asia,Asia
1,2150,Europe
2,Tata Digital,Asia
0,ICONIQ Growth,North America
1,Marshall Wace,Europe
0,MercadoLibre,South America
2,Multiple Investors,Asia
2,Multiple Investors,Asia
1,SRAM & MRAM,Europe
0,Multiple Investors,North America
0,Multiple Investors,North America
1,Multiple Investors,Europe
0,T. Rowe Price,North America
0,CrowdStrike Falcon Fund,North America
1,Bestseller,Europe
1,Barings,Europe
2,General Atlantic,Asia
0,TPG,North America
1,BlackRock,Europe
0,Tiger Global Management,North America
0,Spark Capital,North America
0,D1 Capital Partners,North America
0,Multiple Investors,North America
2,Multiple Investors,Asia
0,Multiple Investors,North America
0,TPG,North America
0,Multiple Investors,North America
1,SoftBank Vision Fund,Europe
2,Multiple Investors,Asia
2,Xiaomi,Asia
2,Tiantu Capital,Asia
0,Multiple Investors,North America
1,HubSpot Ventures,Europe
0,G Squared,North America
1,Mastercard,Europe
0,Multiple Investors,Oceania
1,Eurazeo,Europe
2,Fujian Dongbai (Group),Asia
2,DST Global,Asia
2,Mitsubishi UFJ Financial Group,Asia
1,Teachers Venture Growth,Europe
0,NTT DOCOMO Ventures,North America
0,Lightspeed Venture Partners,North America
0,SoftBank Vision Fund,North America
0,Snap,North America
0,Lone Pine Capital,North America
2,Multiple Investors,Asia
2,YF Capital,Asia
0,Multiple Investors,North America
0,Sailing Capital,North America
0,Bond,North America
0,General Atlantic,North America
1,Arjun Infrastructure Partners,Europe
2,Fenbushi Capital,Asia
0,WestCap,North America
0,HighSage Ventures,North America
0,Blackstone Group,North America
0,Kohlberg Kravis Roberts,North America
0,SoftBank Vision Fund,North America
0,Valor Equity Partners,North America
0,Multiple Investors,North America
2,Multiple Investors,Asia
2,NEOM,Asia
1,Multiple Investors,Europe
0,Google,North America
0,Multiple Investors,North America
0,Temasek Holdings,North America
2,Tiger Global Management,Asia
0,Insight Partners,North America
0,Bain Capital Ventures,North America
0,Caisse de Depot et Placement du Quebec,North America
0,Multiple Investors,North America
0,Ontario Teachers' Pension Plan,North America
0,Salesforce Ventures,North America
0,Charlesbank Capital Partners,North America
0,Binance Labs,North America
2,Multiple Investors,Asia
2,Shenzhen Capital Group,Asia
0,Capital One Ventures,North America
0,Magnetar Capital,North America
0,Owl Rock Capital,North America
0,One Equity Partners,North America
1,Canada Pension Plan Investment Board,Europe
2,Temasek Holdings,Asia
0,General Atlantic,North America
0,Multiple Investors,North America
0,Multiple Investors,North America
2,Charoen Pokphand Group,Asia
0,Advent International,North America
0,Vista Equity Partners,North America
0,Fidelity Management and Research Company,North America
0,Andreessen Horowitz,North America
2,Yunhao Capital,Asia
0,ION Crossover Partners,North America
0,Alpha Wave Global,North America
0,Multiple Investors,North America
0,Coatue,North America
0,Baker Hughes,North America
0,Robert Downey Jr.,North America
0,Multiple Investors,North America
0,Multiple Investors,North America
0,Multiple Investors,North America
1,SoftBank Corp.,Europe
0,Multiple Investors,North America
0,Ares Management,North America
2,Multiple Investors,Asia
0,WestCap,North America
0,TCV,North America
0,Wellington Management,North America
0,Crypto.com Capital,North America
0,Multiple Investors,North America
0,Accel,North America
2,Multiple Investors,Asia
2,Multiple Investors,Asia
