Cluster,Lead Investors Include,Industry
2,Kai-Fu Lee,Enterprise Tech
4,Lightspeed Venture Partners,Media & Entertainment
2,Amber Group,Enterprise Tech
1,Haoteng Asia,Industrials
1,2150,Industrials
3,Tata Digital,Healthcare & Life Sciences
2,ICONIQ Growth,Enterprise Tech
0,Marshall Wace,Financial Services
2,MercadoLibre,Enterprise Tech
0,Multiple Investors,Financial Services
0,Multiple Investors,Consumer & Retail
2,SRAM & MRAM,Enterprise Tech
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Media & Entertainment
2,Multiple Investors,Enterprise Tech
1,T. Rowe Price,Industrials
2,CrowdStrike Falcon Fund,Enterprise Tech
5,Bestseller,Consumer & Retail
0,Barings,Insurance
0,General Atlantic,Insurance
0,TPG,Financial Services
2,BlackRock,Enterprise Tech
2,Tiger Global Management,Enterprise Tech
2,Spark Capital,Enterprise Tech
0,D1 Capital Partners,Financial Services
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Financial Services
2,Multiple Investors,Enterprise Tech
5,TPG,Consumer & Retail
0,Multiple Investors,Insurance
1,SoftBank Vision Fund,Industrials
2,Multiple Investors,Enterprise Tech
2,Xiaomi,Enterprise Tech
2,Tiantu Capital,Enterprise Tech
2,Multiple Investors,Enterprise Tech
2,HubSpot Ventures,Enterprise Tech
2,G Squared,Enterprise Tech
2,Mastercard,Enterprise Tech
0,Multiple Investors,Financial Services
2,Eurazeo,Enterprise Tech
1,Fujian Dongbai (Group),Industrials
0,DST Global,Financial Services
0,Mitsubishi UFJ Financial Group,Financial Services
3,Teachers Venture Growth,Healthcare & Life Sciences
2,NTT DOCOMO Ventures,Enterprise Tech
3,Lightspeed Venture Partners,Healthcare & Life Sciences
2,SoftBank Vision Fund,Enterprise Tech
2,Snap,Enterprise Tech
2,Lone Pine Capital,Enterprise Tech
0,Multiple Investors,Media & Entertainment
2,YF Capital,Enterprise Tech
0,Multiple Investors,Financial Services
3,Sailing Capital,Healthcare & Life Sciences
2,Bond,Enterprise Tech
4,General Atlantic,Media & Entertainment
1,Arjun Infrastructure Partners,Industrials
0,Fenbushi Capital,Financial Services
0,WestCap,Financial Services
2,HighSage Ventures,Enterprise Tech
1,Blackstone Group,Industrials
0,Kohlberg Kravis Roberts,Financial Services
2,SoftBank Vision Fund,Enterprise Tech
1,Valor Equity Partners,Industrials
2,Multiple Investors,Enterprise Tech
1,Multiple Investors,Industrials
2,NEOM,Enterprise Tech
0,Multiple Investors,Consumer & Retail
2,Google,Enterprise Tech
2,Multiple Investors,Enterprise Tech
5,Temasek Holdings,Consumer & Retail
2,Tiger Global Management,Enterprise Tech
2,Insight Partners,Enterprise Tech
5,Bain Capital Ventures,Consumer & Retail
2,Caisse de Depot et Placement du Quebec,Enterprise Tech
1,Multiple Investors,Industrials
5,Ontario Teachers' Pension Plan,Consumer & Retail
2,Salesforce Ventures,Enterprise Tech
2,Charlesbank Capital Partners,Enterprise Tech
2,Binance Labs,Enterprise Tech
0,Multiple Investors,Consumer & Retail
2,Shenzhen Capital Group,Enterprise Tech
2,Capital One Ventures,Enterprise Tech
2,Magnetar Capital,Enterprise Tech
2,Owl Rock Capital,Enterprise Tech
2,One Equity Partners,Enterprise Tech
2,Canada Pension Plan Investment Board,Enterprise Tech
3,Temasek Holdings,Healthcare & Life Sciences
2,General Atlantic,Enterprise Tech
2,Multiple Investors,Enterprise Tech
1,Multiple Investors,Industrials
2,Charoen Pokphand Group,Enterprise Tech
5,Advent International,Consumer & Retail
1,Vista Equity Partners,Industrials
2,Fidelity Management and Research Company,Enterprise Tech
1,Andreessen Horowitz,Industrials
1,Yunhao Capital,Industrials
0,ION Crossover Partners,Insurance
3,Alpha Wave Global,Healthcare & Life Sciences
0,Multiple Investors,Media & Entertainment
2,Coatue,Enterprise Tech
1,Baker Hughes,Industrials
5,Robert Downey Jr.,Consumer & Retail
1,Multiple Investors,Industrials
2,Multiple Investors,Enterprise Tech
0,Multiple Investors,Media & Entertainment
1,SoftBank Corp.,Industrials
2,Multiple Investors,Enterprise Tech
0,Ares Management,Financial Services
0,Multiple Investors,Healthcare & Life Sciences
0,WestCap,Financial Services
2,TCV,Enterprise Tech
5,Wellington Management,Consumer & Retail
2,Crypto.com Capital,Enterprise Tech
1,Multiple Investors,Industrials
2,Accel,Enterprise Tech
1,Multiple Investors,Industrials
0,Multiple Investors,Financial Services
