Company,Post Money Value (Billions),Post Money Value (Millions),Total Equity Funding (Millions),Lead Investors Include,Country,Continent,Month,Year,Industry
01.AI,1,1000,0,Kai-Fu Lee,China,Asia,10,2015,Enterprise Tech
1047 Games,2,2000,117,Lightspeed Venture Partners,United States,North America,9,2021,Media & Entertainment
1inch Limited,2,2000,190,Amber Group,United States,North America,5,2021,Enterprise Tech
1KMXC,1,1000,86,Haoteng Asia,China,Asia,8,2021,Industrials
1Komma5°,1,1000,490,2150,Germany,Europe,6,2023,Industrials
1mg,1,1000,200,Tata Digital,India,Asia,9,2022,Healthcare & Life Sciences
1Password,7,7000,920,ICONIQ Growth,Canada,North America,7,2021,Enterprise Tech
21.co,2,2000,35,Marshall Wace,Switzerland,Europe,9,2022,Financial Services
2TM,2,2000,250,MercadoLibre,Brazil,South America,6,2021,Enterprise Tech
4Paradigm,2,2000,1000,Multiple Investors,China,Asia,12,2018,Financial Services
58 Daojia,1,1000,300,Multiple Investors,China,Asia,10,2015,Consumer & Retail
5ire,2,2000,122,SRAM & MRAM,United Kingdom,Europe,7,2022,Enterprise Tech
6sense,5,5000,426,Multiple Investors,United States,North America,3,2021,Enterprise Tech
A24,3,3000,225,Multiple Investors,United States,North America,3,2022,Media & Entertainment
ABB E-Mobility,3,3000,358,Multiple Investors,Switzerland,Europe,12,2022,Enterprise Tech
ABL Space Systems,2,2000,419,T. Rowe Price,United States,North America,3,2021,Industrials
Abnormal Security,4,4000,284,CrowdStrike Falcon Fund,United States,North America,5,2022,Enterprise Tech
ABOUT YOU,1,1000,300,Bestseller,Germany,Europe,9,2018,Consumer & Retail
Accelerant,2,2000,343,Barings,United Kingdom,Europe,1,2022,Insurance
Acko,1,1000,458,General Atlantic,India,Asia,10,2021,Insurance
Acorns,2,2000,510,TPG,United States,North America,3,2022,Financial Services
Acronis,4,4000,658,BlackRock,Switzerland,Europe,9,2019,Enterprise Tech
ActiveCampaign,3,3000,360,Tiger Global Management,United States,North America,4,2021,Enterprise Tech
Ada,1,1000,191,Spark Capital,Canada,North America,5,2021,Enterprise Tech
Addepar,2,2000,531,D1 Capital Partners,United States,North America,6,2021,Financial Services
Adept AI,1,1000,415,Multiple Investors,United States,North America,3,2023,Enterprise Tech
Advance Intelligence Group,2,2000,616,Multiple Investors,Singapore,Asia,9,2021,Financial Services
Afiniti,2,2000,120,Multiple Investors,Bermuda,North America,4,2017,Enterprise Tech
Age of Learning,3,3000,500,TPG,United States,North America,5,2016,Consumer & Retail
AgentSync,1,1000,161,Multiple Investors,United States,North America,12,2021,Insurance
Agile Robots AG,1,1000,770,SoftBank Vision Fund,Germany,Europe,9,2021,Industrials
AI21 Labs,1,1000,274,Multiple Investors,Israel,Asia,8,2023,Enterprise Tech
Aibee,1,1000,273,Xiaomi,China,Asia,4,2021,Enterprise Tech
Aijia Home Furnishing Products,1,1000,146,Tiantu Capital,China,Asia,9,2018,Enterprise Tech
Airbyte,2,2000,181,Multiple Investors,United States,North America,12,2021,Enterprise Tech
Aircall,1,1000,226,HubSpot Ventures,France,Europe,6,2021,Enterprise Tech
airSlate,1,1000,132,G Squared,United States,North America,6,2022,Enterprise Tech
Airtel Mobile Commerce BV,3,3000,300,Mastercard,The Netherlands,Europe,4,2021,Enterprise Tech
Airwallex,6,6000,902,Multiple Investors,Australia,Oceania,3,2019,Financial Services
Aiven,3,3000,420,Eurazeo,Finland,Europe,10,2021,Enterprise Tech
AIWAYS,2,2000,792,Fujian Dongbai (Group),China,Asia,4,2018,Industrials
Ajaib,1,1000,246,DST Global,Indonesia,Asia,10,2021,Financial Services
Akulaku,2,2000,638,Mitsubishi UFJ Financial Group,Indonesia,Asia,2,2022,Financial Services
Alan,3,3000,558,Teachers’ Venture Growth,France,Europe,4,2021,Healthcare & Life Sciences
Alation,2,2000,315,NTT DOCOMO Ventures,United States,North America,6,2021,Enterprise Tech
Aledade,4,4000,678,Lightspeed Venture Partners,United States,North America,1,2021,Healthcare & Life Sciences
Aleo,1,1000,298,SoftBank Vision Fund,United States,North America,2,2022,Enterprise Tech
Aleph Holding,2,2000,470,Snap,United States,North America,8,2021,Enterprise Tech
