Company,Post Money Value,Total Equity Funding,Lead Investors Include,Country,Continent,Month,Year,Industry
01.AI,1,0,Kai-Fu Lee,China,Asia,10,2015,Enterprise Tech
1047 Games,2,117,Lightspeed Venture Partners,United States,North America,09,2021,Media & Entertainment
1inch Limited,2,190,Amber Group,United States,North America,05,2021,Enterprise Tech
1KMXC,1,86,Haoteng Asia,China,Asia,08,2021,Industrials
1Komma5°,1,490,2150,Germany,Europe,06,2023,Industrials
1mg,1,200,Tata Digital,India,Asia,09,2022,Healthcare & Life Sciences
1Password,7,920,ICONIQ Growth,Canada,North America,07,2021,Enterprise Tech
21.co,2,35,Marshall Wace,Switzerland,Europe,09,2022,Financial Services
2TM,2,250,MercadoLibre,Brazil,South America,06,2022,Enterprise Tech
4Paradigm,2,1000,"Boyu Capital, HOPU Investment Management Company",China,Asia,12,2018,Financial Services
58 Daojia,1,300,"Ping An, Kohlberg Kravis Roberts, Alibaba Grou",China,Asia,10,2015,Consumer & Retail
5ire,2,122,SRAM & MRAM,United Kingdom,Europe,07,2022,Enterprise Tech
6sense,5,426,"Blue Owl, MSD Partners",United States,North America,03,2021,Enterprise Tech
A24,3,225,"Neuberger Berman, Stripes",United States,North America,03,2022,Media & Entertainment
ABB E-Mobility,3,358,"Just Climate, GIC, Beyond Net Zero, Porsche Automobil Holding, Interogo Holding AG, moyreal holding AG, Michael Halbherr",Switzerland,Europe,12,2022,Enterprise Tech
ABL Space Systems,2,419,T. Rowe Price,United States,North America,03,2021,Industrials
Abnormal Security,4,284,CrowdStrike Falcon Fund,United States,North America,05,2022,Enterprise Tech
ABOUT YOU,1,300,Bestseller,Germany,Europe,09,2018,Consumer & Retail
Accelerant,2,343,Barings,United Kingdom,Europe,01,2022,Insurance
Acko,1,458,General Atlantic,India,Asia,10,2021,Insurance
Acorns,2,510,TPG,United States,North America,03,2022,Financial Services
Acronis,4,658,BlackRock,Switzerland,Europe,09,2019,Enterprise Tech
ActiveCampaign,3,360,Tiger Global Management,United States,North America,04,2021,Enterprise Tech
Ada,1,191,Spark Capital,Canada,North America,05,2021,Enterprise Tech
Addepar,2,531,D1 Capital Partners,United States,North America,06,2021,Financial Services
Adept AI,1,415,"General Catalyst, Spark Capital",United States,North America,03,2023,Enterprise Tech
Advance Intelligence Group,2,616,"Northstar Group, Warburg Pincus",Singapore,Asia,09,2021,Financial Services
Afiniti,2,120,"The Resource Group, Greyrock Investments, GAM Investments, Ivan Seidenberg, Frederick Ryan, Daniel Klueger, Zeke Capital Advisors, The Resource Group, McKinsey & Company",Bermuda,North America,04,2017,Enterprise Tech
Age of Learning,3,500,TPG,United States,North America,05,2016,Consumer & Retail
AgentSync,1,161,"Craft Ventures, Valor Ventures",United States,North America,12,2021,Insurance
Agile Robots AG,1,770,SoftBank Vision Fund,Germany,Europe,09,2021,Industrials
AI21 Labs,1,274,"Amnon Shashua, b2venture (formerly btov Partners)",Israel,Asia,08,2023,Enterprise Tech
Aibee,1,273,Xiaomi,China,Asia,04,2021,Enterprise Tech
Aijia Home Furnishing Products,1,146,Tiantu Capital,China,Asia,09,2018,Enterprise Tech
Airbyte,2,181,"Altimeter Capital, Coatue",United States,North America,12,2021,Enterprise Tech
Aircall,1,226,HubSpot Ventures,France,Europe,06,2021,Enterprise Tech
airSlate,1,132,G Squared,United States,North America,06,2022,Enterprise Tech
Airtable,12,1000,XN,United States,North America,11,2018,Enterprise Tech
Airtel Mobile Commerce BV,3,300,Mastercard,The Netherlands,Europe,03,2021,Enterprise Tech
Airwallex,6,902,"Sequoia Capital China, Square Peg Capital",Australia,Oceania,03,2019,Financial Services
Aiven,3,420,Eurazeo,Finland,Europe,10,2021,Enterprise Tech
AIWAYS,2,792,Fujian Dongbai (Group),China,Asia,04,2018,Industrials
