Cluster,Lead Investors Include,Continent
1,The Carlyle Group,Asia
2,General Atlantic,Europe
0,Fidelity,North America
1,Schroder Adveq,Asia
0,Lux Capital,North America
0,TDM Growth Partners,North America
0,Multiple Lead Investors,Africa
0,B Capital,North America
0,Multiple Lead Investors,North America
1,Multiple Lead Investors,Asia
2,Sofina,Europe
1,Zhongzhi Enterprise Group,Asia
0,Lone Pine Capital,North America
1,Beijing E-town International Investment & Development,Asia
0,Multiple Lead Investors,North America
1,CICC,Asia
1,Kedaara Capital,Asia
0,Progressive Insurance,North America
0,Linse Capital,North America
1,Multiple Lead Investors,Asia
2,H.I.G. Growth Partners,Europe
1,Apis Partners,Asia
1,Owl Ventures,Asia
2,World Fund,Europe
1,ADM Ventures,Asia
2,Centerbridge Partners,Europe
0,Multiple Lead Investors,North America
1,Affinity Equity Partners,Asia
0,Multiple Lead Investors,North America
1,HOPU Investment,Asia
0,Silver Lake Waterman,North America
0,SoftBank Vision Fund,North America
0,SoftBank Vision Fund,North America
0,Multiple Lead Investors,North America
1,Westpac,Asia
0,Bain Capital Tech Opportunities,North America
1,SenseTime,Asia
0,Blackstone Group,North America
2,Azimut Holding,Europe
1,Brighton Park Capital,Asia
0,Lockheed Martin Ventures,North America
0,Goldman Sachs Asset Management,North America
1,Marshall Wace,Asia
2,Multiple Lead Investors,Europe
1,Everbright,Asia
1,Prosperity7 Ventures,Asia
2,Ilija Batljan,Europe
1,Home & Shopping,Asia
2,Multiple Lead Investors,Europe
1,Saehan Startup Investment,Asia
2,National Electric Vehicle Sweden (NEVS),Europe
1,Multiple Lead Investors,Asia
1,Multiple Lead Investors,Asia
1,Multiple Lead Investors,Asia
0,Sway Ventures,North America
2,Multiple Lead Investors,Europe
1,Capital18,Asia
1,Shinhan Financial Group,Asia
0,Multiple Lead Investors,North America
0,Insight Partners,North America
2,ICONIQ Growth,Europe
2,Permira,Europe
0,Motive Partners,North America
1,Castrol India,Asia
0,Trinity Capital,North America
1,BRV Capital Management,Asia
0,SK Materials,North America
2,Multiple Lead Investors,Europe
1,Access Industries,Asia
1,Tiger Global Management,Asia
0,Periphas Capital,North America
0,IVP,North America
2,J.P. Morgan Growth Equity Partners,Europe
1,Swiggy,Asia
1,Multiple Lead Investors,Asia
1,STIC Investment,Asia
1,IMM Investment,Asia
1,Baixing Bairong,Asia
1,Multiple Lead Investors,Asia
0,Invesco,North America
0,SoftBank Vision Fund,North America
0,Convivialite Ventures,North America
0,SoftBank Vision Fund,North America
0,LG Technology Ventures,North America
0,Vista Equity Partners,North America
0,Multiple Lead Investors,North America
0,Multiple Lead Investors,North America
0,JP Morgan Chase,North America
0,Multiple Lead Investors,North America
2,Multiple Lead Investors,Europe
0,Greybrook Realty Partners,North America
0,TCG,North America
2,Mubadala Capital Ventures,Europe
0,Stripes,North America
0,The Westly Group,North America
0,Multiple Lead Investors,North America
0,8VC,South America
0,Cisco Investments,North America
0,Intel Capital,North America
0,Permira,North America
0,Multiple Lead Investors,North America
1,Multiple Lead Investors,Asia
0,Tiger Global Management,North America
0,Thoma Bravo,North America
0,Norwest Venture Partners,North America
0,G Squared,North America
0,SoftBank Vision Fund,North America
2,Dai-ichi Life,Europe
1,Warburg Pincus,Asia
1,Temasek Holdings,Asia
0,Multicoin Capital,North America
0,Hanaco Venture Capital,North America
0,Antler,North America
0,Multiple Lead Investors,North America
1,Altos Ventures,Asia
0,Valar Ventures,North America
0,Caisse de Depot et Placement du Quebec,North America
1,Google,Asia
0,Altimeter Capital,North America
1,Tencent,Asia
0,Georgian,North America
0,Canapi Ventures,North America
0,TPG,North America
0,TCV,North America
0,GGV Capital,North America
1,Multiple Lead Investors,Asia
0,Tiger Global Management,North America
1,Multiple Lead Investors,Asia
0,DisruptAD,North America
0,Fidelity,North America
0,Generation Investment Management,North America
0,D1 Capital Partners,North America
1,Accel,Asia
0,General Catalyst,North America
2,SoftBank Vision Fund,Europe
0,SoftBank Vision Fund,North America
0,L Catterton,North America
0,Multiple Lead Investors,North America
2,Multiple Lead Investors,Europe
2,Kohlberg Kravis Roberts,Europe
0,Andreessen Horowitz,North America
1,Kora,Asia
1,Shinhan Financial Group,Asia
1,Multiple Lead Investors,Asia
1,Shenzhen Capital Group,Asia
1,Multiple Lead Investors,Asia
0,Multiple Lead Investors,North America
0,Headline,Oceania
0,Dawn Capital,Oceania
2,General Atlantic,Europe
1,QJY Capital,Asia
0,FootPrint Coalition,North America
0,Stripe,North America
0,RedBird Capital Partners,North America
2,Global PayTech Ventures,Europe
2,Spark Capital,Europe
1,Partners Group,Asia
1,NIO,Asia
1,Multiple Lead Investors,Asia
1,Sequoia Capital China,Asia
1,Multiple Lead Investors,Asia
1,Lightrock,Asia
0,Multiple Lead Investors,North America
0,General Motors,North America
0,Francisco Partners,North America
0,Northwell Health,North America
0,Seven Seven Six,North America
0,Accel,Oceania
1,Multiple Lead Investors,Asia
0,Science,North America
0,Multiple Lead Investors,North America
0,Multiple Lead Investors,North America
2,Invus Opportunities,Europe
0,SoftBank Vision Fund,North America
0,Santander US,North America
0,Multiple Lead Investors,North America
0,SoftBank Vision Fund,North America
0,Multiple Lead Investors,North America
0,ServiceNow,North America
0,Kinnevik,North America
0,GS Growth,North America
0,GIC,South America
0,Multiple Lead Investors,North America
2,LVMH,Europe
1,Multiple Lead Investors,Asia
1,Lazada Group,Asia
1,Lighthouse Funds,Asia
1,Multiple Lead Investors,Asia
2,SoftBank Vision Fund,Europe
1,Advent International,Asia
1,Gaja Capital,Asia
1,KT Corp,Asia
1,STIC Investment,Asia
2,Planet First Partners,Europe
2,Affinity Partners,Europe
0,Revolution Growth,North America
1,Multiple Lead Investors,Asia
0,Intact Ventures,North America
0,Andreessen Horowitz,North America
0,Multiple Lead Investors,North America
2,Apax Digital,Europe
2,Dawn Capital,Europe
0,SoftBank Vision Fund,North America
2,Zoom,Europe
2,General Atlantic,Europe
0,SVB Capital,North America
2,Multiple Lead Investors,Europe
1,Venture Catalysts,Asia
0,Multiple Lead Investors,North America
1,CVCC Zhongshi Capital,Asia
0,Multiple Lead Investors,North America
0,Vector Capital,North America
0,Multiple Lead Investors,Africa
0,US Innovative Technology Fund,North America
0,Trilantic Capital Partners,North America
0,Accel,North America
0,Janus Henderson Investors,North America
1,Tencent,Asia
1,Visa,Asia
0,Times Bridge,North America
0,Gilead Sciences,North America
1,Jungle Ventures,Asia
1,CCB International,Asia
1,Multiple Lead Investors,Asia
2,Vitruvian Partners,Europe
0,Spark Capital,North America
2,Apax Digital,Europe
0,Menlo Ventures,North America
0,ICONIQ Growth,North America
0,Meritech Capital Partners,North America
0,Multiple Lead Investors,North America
2,Vitruvian Partners,Europe
0,Multiple Lead Investors,North America
0,Stripes,North America
0,Multiple Lead Investors,North America
0,Haun Ventures,North America
0,Multiple Lead Investors,North America
1,e&,Asia
0,Blackstone Accelerates Growth,North America
0,Tencent,North America
0,Redstart Labs,North America
0,Multiple Lead Investors,North America
0,SoftBank Vision Fund,North America
1,Multiple Lead Investors,Asia
2,Multiple Lead Investors,Europe
0,Addition,North America
0,American Express Ventures,North America
1,Multiple Lead Investors,Asia
1,ShenZhen GTJA Investment Group,Asia
0,WestCap,North America
1,Beams FinTech Fund,Asia
0,Deer Park Road,North America
1,KFC Ventures,Asia
1,Trustbridge Partners,Asia
1,Tiger Global Management,Asia
0,General Catalyst,North America
1,China Fellow Partners,Asia
1,Multiple Lead Investors,Asia
2,Catalyst,Europe
1,Flipkart,Asia
2,Verdane,Europe
0,Andreessen Horowitz,North America
1,Multiple Lead Investors,Asia
0,Eldridge Industries,North America
1,Korea Development Bank,Asia
0,SoftBank Vision Fund,North America
0,Insight Partners,North America
0,Multiple Lead Investors,North America
2,NatWest Group,Europe
0,Microsoft Climate Innovation Fund,North America
1,CTC Capital,Asia
2,Tiger Global Management,Europe
1,Multiple Lead Investors,Asia
0,SoftBank Vision Fund,North America
0,Fidelity,North America
0,Multiple Lead Investors,North America
2,Highland Europe,Europe
1,Multiple Lead Investors,Asia
2,Greylock,Europe
0,Booking Holdings,South America
0,Multiple Lead Investors,North America
0,OpenAI,North America
0,Multiple Lead Investors,North America
0,Lux Capital,North America
0,Bain Capital Tech Opportunities,North America
0,Fubon Financial Holdings,North America
0,Stripes,North America
0,Andreessen Horowitz,North America
0,Bessemer Venture Partners,North America
1,Multiple Lead Investors,Asia
0,ICONIQ Growth,North America
0,Eight Roads Ventures,North America
0,Mubadala,Africa
0,Multiple Lead Investors,North America
1,Vy Capital,Asia
1,MUFG Bank,Asia
2,Arm Holdings,Europe
0,Multiple Lead Investors,South America
0,10T Holdings,North America
1,Swiss Re,Asia
0,Samsung Electronics,North America
1,Evolution Financial,Asia
0,The General Partnership,North America
0,GIC,North America
1,Peak XV Partners,Asia
0,IVP,North America
1,Alpha Wave Global,Asia
2,Multiple Lead Investors,Europe
2,Eicher Motors Limited,Europe
