Cluster,Lead Investors Include,Country
1,The Carlyle Group,India
0,General Atlantic,United Kingdom
3,Fidelity,United States
1,Schroder Adveq,India
3,Lux Capital,United States
0,TDM Growth Partners,Canada
0,"Blue Earth Capital, Norrsken22",South Africa
3,B Capital,United States
3,"Advent International, Brighton Park Capital",United States
1,"IIFL Finance, Malabar Investment Advisors",India
0,Sofina,Spain
0,Zhongzhi Enterprise Group,China
3,Lone Pine Capital,United States
0,Beijing E-town International Investment & Development,China
3,"GreenPoint Partners, Taronga Ventures",United States
0,CICC,China
1,Kedaara Capital,India
3,Progressive Insurance,United States
3,Linse Capital,United States
1,"Amansa Capital, Jungle Ventures",India
0,H.I.G. Growth Partners,The Netherlands
1,Apis Partners,India
1,Owl Ventures,India
0,World Fund,Finland
0,ADM Ventures,Israel
0,Centerbridge Partners,United Kingdom
3,"Sienna Capital, SoftBank Vision Fund",United States
0,Affinity Equity Partners,Indonesia
3,"General Catalyst, Ryan Smith",United States
0,HOPU Investment,China
3,Silver Lake Waterman,United States
3,SoftBank Vision Fund,United States
3,SoftBank Vision Fund,United States
3,"OMERS Growth Equity, Thomvest Ventures",United States
0,Westpac,Singapore
3,Bain Capital Tech Opportunities,United States
0,SenseTime,China
3,Blackstone Group,United States
0,Azimut Holding,Switzerland
0,Brighton Park Capital,Israel
3,Lockheed Martin Ventures,United States
3,Goldman Sachs Asset Management,United States
0,Marshall Wace,Singapore
0,"Bond, Index Ventures",The Netherlands
0,Everbright,China
2,Prosperity7 Ventures,Hong Kong
0,Ilija Batljan,Sweden
5,Home & Shopping,South Korea
0,"Goldman Sachs, Kinnevik",United Kingdom
5,Saehan Startup Investment,South Korea
0,National Electric Vehicle Sweden (NEVS),Sweden
0,"Tencent, Sony",Japan
2,"Chelsea Vanguard Fund, Regal Planet Holdings Limited",Hong Kong
0,"IDG Capital, Meituan",China
3,Sway Ventures,United States
0,"Fuel Venture Capital, IDC Ventures",United Kingdom
1,Capital18,India
0,Shinhan Financial Group,Vietnam
3,"Menlo Ventures, Tiger Global Management",United States
3,Insight Partners,United States
0,ICONIQ Growth,France
0,Permira,United Kingdom
3,Motive Partners,United States
1,Castrol India,India
3,Trinity Capital,United States
5,BRV Capital Management,South Korea
3,SK Materials,United States
0,"Korelya Capital, Naver",Spain
0,Access Industries,China
0,Tiger Global Management,Indonesia
3,Periphas Capital,United States
3,IVP,United States
0,J.P. Morgan Growth Equity Partners,United Kingdom
1,Swiggy,India
5,"Forest Partners, IBK Capital",South Korea
1,STIC Investment,India
5,IMM Investment,South Korea
0,Baixing Bairong,China
0,"Sailing Capital, YF Capital",China
3,Invesco,United States
3,SoftBank Vision Fund,United States
3,Convivialite Ventures,United States
3,SoftBank Vision Fund,United States
3,LG Technology Ventures,United States
3,Vista Equity Partners,United States
3,"Elad Gil, General Catalyst",United States
3,"CPMG, L2 Ventures",United States
3,JP Morgan Chase,United States
3,"Insight Partners, Stripes",United States
0,"Target Global, VNV Global",United Kingdom
3,Greybrook Realty Partners,United States
3,TCG,United States
0,Mubadala Capital Ventures,Sweden
3,Stripes,United States
3,The Westly Group,United States
3,"ACME Capital, TPG Growth",United States
0,8VC,Colombia
3,Cisco Investments,United States
3,Intel Capital,United States
3,Permira,United States
3,"Battery Ventures, Norwest Venture Partners",United States
0,"Novo Holdings, Vivo Capital",Singapore
0,Tiger Global Management,United States
3,Thoma Bravo,United States
3,Norwest Venture Partners,United States
3,G Squared,United States
3,SoftBank Vision Fund,United States
0,Dai-ichi Life,United Kingdom
0,Warburg Pincus,China
1,Temasek Holdings,India
3,Multicoin Capital,United States
3,Hanaco Venture Capital,United States
3,Antler,United States
0,"CRV, Insight Partners",Canada
5,Altos Ventures,South Korea
0,Valar Ventures,Canada
3,Caisse de Depot et Placement du Quebec,United States
1,Google,India
3,Altimeter Capital,United States
5,Tencent,South Korea
0,Georgian,Canada
3,Canapi Ventures,United States
3,TPG,United States
3,TCV,United States
3,GGV Capital,United States
0,"Li Silian, Star River Group, Times China",China
0,Tiger Global Management,United States
