Cluster,Company,Lead Investors Include,Country
1,Nxtra Data,The Carlyle Group,India
3,Butternut Box,General Atlantic,United Kingdom
2,Delphix,Fidelity,United States
1,Bizongo,Schroder Adveq,India
2,OpenStore,Lux Capital,United States
0,League,TDM Growth Partners,Canada
0,TymeBank,"Blue Earth Capital, Norrsken22",South Africa
2,Fountain,B Capital,United States
2,Coralogix,"Advent International, Brighton Park Capital",United States
1,CarTrade,"IIFL Finance, Malabar Investment Advisors",India
0,Typeform,Sofina,Spain
0,Xiaohuanggou,Zhongzhi Enterprise Group,China
2,Grin,Lone Pine Capital,United States
0,UnionTech,Beijing E-town International Investment & Development,China
2,OpenSpace,"GreenPoint Partners, Taronga Ventures",United States
0,Supermonkey,CICC,China
1,Perfios Software Solutions,Kedaara Capital,India
2,Octane,Progressive Insurance,United States
2,Redaptive,Linse Capital,United States
1,Turtlemint,"Amansa Capital, Jungle Ventures",India
0,Pyramid Analytics,H.I.G. Growth Partners,The Netherlands
1,Money View,Apis Partners,India
1,Leap,Owl Ventures,India
0,IQM Quantum Computers,World Fund,Finland
0,Believer Meats,ADM Ventures,Israel
3,Stenn Technologies,Centerbridge Partners,United Kingdom
2,Globality,"Sienna Capital, SoftBank Vision Fund",United States
0,Vidio,Affinity Equity Partners,Indonesia
2,Awardco,"General Catalyst, Ryan Smith",United States
0,Laiye,HOPU Investment,China
2,SecurityScorecard,Silver Lake Waterman,United States
2,Netradyne,SoftBank Vision Fund,United States
2,Labelbox,SoftBank Vision Fund,United States
2,Ladder,"OMERS Growth Equity, Thomvest Ventures",United States
0,ShopBack,Westpac,Singapore
2,Axtria,Bain Capital Tech Opportunities,United States
0,Helian Health,SenseTime,China
2,Dynamo Software,Blackstone Group,United States
0,Sygnum,Azimut Holding,Switzerland
0,Silverfort,Brighton Park Capital,Israel
2,HawkEye 360,Lockheed Martin Ventures,United States
2,Madhive,Goldman Sachs Asset Management,United States
0,Thunes,Marshall Wace,Singapore
