Cluster,Organisation,Main Industry,Main Reason
2,10X Genomics,Healthcare & BioTechnology,Bankrupt
2,17zuoye,Education and EdTech,Bankrupt
0,23andMe,Healthcare & BioTechnology,Merger
2,51 Credit Card Manager,Finance and FinTech,Bankrupt
0,9F Group,Finance and FinTech,IPO
4,Actifio,Software & Technology,Bankrupt
5,ACV,Automotive and Transportation,Bankrupt
2,Adaptive Biotechnologies,Healthcare & BioTechnology,Bankrupt
0,Adyen,Finance and FinTech,IPO
2,Affirm,Finance and FinTech,Bankrupt
2,Aihuishou,E-Commerce and Retail,Bankrupt
4,AInnovation,Software & Technology,Bankrupt
0,Airbnb,Software & Technology,IPO
4,Airtel Africa,Software & Technology,Bankrupt
1,AirWatch,Software & Technology,Acquired
0,Alibaba Group,Software & Technology,IPO
2,Allbirds,E-Commerce and Retail,Bankrupt
2,Alvotech,Healthcare & BioTechnology,Bankrupt
0,Amplitude,Software & Technology,IPO
4,Anaplan,Software & Technology,Bankrupt
1,AppDynamics,Software & Technology,Acquired
0,AppLovin,Media and Entertainment,IPO
2,AppNexus,Media and Entertainment,Bankrupt
2,Apttus,Finance and FinTech,Bankrupt
5,Arrival,Automotive and Transportation,Bankrupt
4,Asana,Software & Technology,Bankrupt
4,ASR Microelectronics,Software & Technology,Bankrupt
2,ATAI Life Sciences,Healthcare & BioTechnology,Bankrupt
0,Atlassian,Software & Technology,IPO
2,Auris Health,Healthcare & BioTechnology,Bankrupt
5,Aurora,Automotive and Transportation,Bankrupt
1,Auth0,Software & Technology,Acquired
5,AUTO1 Group,Automotive and Transportation,Bankrupt
2,Avaloq,Finance and FinTech,Bankrupt
4,Avast,Software & Technology,Bankrupt
0,AvidXchange,Finance and FinTech,IPO
1,Avito,E-Commerce and Retail,Acquired
2,Babylon,Healthcare & BioTechnology,Bankrupt
0,Babytree,E-Commerce and Retail,IPO
5,BAIC BJEV,Automotive and Transportation,Bankrupt
2,Bakkt,Finance and FinTech,Bankrupt
2,Beijing Weiying Software & Technology,Media and Entertainment,Bankrupt
2,BenevolentAI,Healthcare & BioTechnology,Bankrupt
4,Best,Software & Technology,Bankrupt
1,Better.com,Finance and FinTech,Acquired
2,Beyond Meat,Food and Beverage,Bankrupt
2,BGI Group,Healthcare & BioTechnology,Bankrupt
1,BigBasket,E-Commerce and Retail,Acquired
4,Bilibili,Software & Technology,Bankrupt
2,BILL,Finance and FinTech,Bankrupt
2,Biocytogen,Healthcare & BioTechnology,Bankrupt
5,Bird,Automotive and Transportation,Bankrupt
2,Blend,Finance and FinTech,Bankrupt
2,blinkit,E-Commerce and Retail,Bankrupt
2,Block (Previously Square),Finance and FinTech,Bankrupt
0,Bloom Energy,Energy and CleanTech,IPO
0,Blue Apron,E-Commerce and Retail,IPO
0,Box,Software & Technology,IPO
2,Bright Health Group,Finance and FinTech,Bankrupt
