Country,Industry,Cluster,Chance
China,Enterprise Tech,1,Medium Chance
United States,Media & Entertainment,0,High Chance
United States,Enterprise Tech,2,Low Chance
China,Industrials,1,Medium Chance
Germany,Industrials,0,High Chance
India,Healthcare & Life Sciences,0,High Chance
Canada,Enterprise Tech,2,Low Chance
Switzerland,Financial Services,0,High Chance
Brazil,Enterprise Tech,2,Low Chance
China,Financial Services,1,Medium Chance
China,Consumer & Retail,1,Medium Chance
United Kingdom,Enterprise Tech,2,Low Chance
United States,Enterprise Tech,2,Low Chance
United States,Media & Entertainment,0,High Chance
Switzerland,Enterprise Tech,2,Low Chance
United States,Industrials,0,High Chance
United States,Enterprise Tech,2,Low Chance
Germany,Consumer & Retail,0,High Chance
United Kingdom,Insurance,0,High Chance
India,Insurance,0,High Chance
United States,Financial Services,0,High Chance
Switzerland,Enterprise Tech,2,Low Chance
United States,Enterprise Tech,2,Low Chance
Canada,Enterprise Tech,2,Low Chance
United States,Financial Services,0,High Chance
United States,Enterprise Tech,2,Low Chance
Singapore,Financial Services,0,High Chance
Bermuda,Enterprise Tech,2,Low Chance
United States,Consumer & Retail,0,High Chance
United States,Insurance,0,High Chance
Germany,Industrials,0,High Chance
Israel,Enterprise Tech,2,Low Chance
China,Enterprise Tech,1,Medium Chance
China,Enterprise Tech,1,Medium Chance
United States,Enterprise Tech,2,Low Chance
France,Enterprise Tech,2,Low Chance
United States,Enterprise Tech,2,Low Chance
The Netherlands,Enterprise Tech,2,Low Chance
Australia,Financial Services,0,High Chance
Finland,Enterprise Tech,2,Low Chance
China,Industrials,1,Medium Chance
Indonesia,Financial Services,0,High Chance
Indonesia,Financial Services,0,High Chance
France,Healthcare & Life Sciences,0,High Chance
United States,Enterprise Tech,2,Low Chance
United States,Healthcare & Life Sciences,0,High Chance
United States,Enterprise Tech,2,Low Chance
United States,Enterprise Tech,2,Low Chance
United States,Enterprise Tech,2,Low Chance
China,Media & Entertainment,1,Medium Chance
China,Enterprise Tech,1,Medium Chance
United States,Financial Services,0,High Chance
United States,Healthcare & Life Sciences,0,High Chance
United States,Enterprise Tech,2,Low Chance
United States,Media & Entertainment,0,High Chance
Ireland,Industrials,0,High Chance
Hong Kong,Financial Services,0,High Chance
United States,Financial Services,0,High Chance
